af_id,framework,domain,code,lib_name,description,wcgw_typical,nature,frequency,key,design_default,owner_type,test_procedures,applies_to_domains,archived
lib_p2p_001,COSO 2013,Procure-to-Pay,P2P-001,Validation par un tiers de la création de fournisseur,Toute création de fournisseur dans l'ERP doit être validée par une personne distincte du demandeur,Un employé crée un fournisseur fictif à son nom pour détourner des paiements,Manual,Day,true,Existing,Comptabilité Fournisseurs,Sélectionner 25 créations de fournisseurs sur la période. Vérifier la validation par un tiers indépendant.,"[""F - Finance""]",false
lib_p2p_002,COSO 2013,Procure-to-Pay,P2P-002,Contrôle anti-doublons sur SIRET et IBAN,L'ERP bloque la création si SIRET ou IBAN existe déjà. Revue trimestrielle des doublons potentiels,Doublons fournisseurs — Plusieurs fiches pour un même fournisseur permettent des paiements en doublon,IT-Dependent,Day,true,Existing,Comptabilité Fournisseurs,Tester par tentative de création d'un doublon. Fuzzy matching sur la base.,"[""F - Finance""]",false
lib_p2p_003,COSO 2013,Procure-to-Pay,P2P-003,Double validation des modifications d'IBAN avec callback,Toute modification d'IBAN nécessite double validation et appel de confirmation au fournisseur sur un numéro vérifié,Modification IBAN frauduleuse — Un attaquant modifie l'IBAN pour rediriger les paiements,Manual,Day,true,Existing,Comptabilité Fournisseurs,Sélectionner 15 modifications d'IBAN. Vérifier le callback et la double validation.,"[""F - Finance""]",false
lib_p2p_004,COSO 2013,Procure-to-Pay,P2P-004,Contrôle budgétaire bloquant à l'engagement,L'ERP vérifie la disponibilité budgétaire avant validation. Blocage sauf override Direction,Achat hors budget — Un manager engage des dépenses sans contrôle budgétaire,IT-Dependent,Day,true,Existing,Contrôle de Gestion,Tenter une saisie au-delà du budget. Lister les overrides et les justifier.,"[""F - Finance""]",false
lib_p2p_005,COSO 2013,Procure-to-Pay,P2P-005,Détection des commandes fractionnées,Revue mensuelle des commandes au même fournisseur sur 30 jours glissants,Fractionnement de commandes — Contournement de la matrice de délégation par fractionnement,Manual,Month,false,Existing,Audit Interne,Extraire les commandes par fournisseur. Identifier les patterns proches des seuils.,"[""F - Finance""]",false
lib_p2p_006,COSO 2013,Procure-to-Pay,P2P-006,Mise en concurrence obligatoire au-delà d'un seuil,Au-delà de 50k EUR trois devis sont obligatoires. Justification écrite si dérogation,Commande sans appel d'offres — Favoritisme ou conflit d'intérêt avec un fournisseur,Manual,Day,true,Existing,Direction Achats,Sélectionner 30 commandes >50k. Vérifier les 3 devis ou la dérogation.,"[""F - Finance""]",false
lib_p2p_007,COSO 2013,Procure-to-Pay,P2P-007,Déclaration annuelle de conflits d'intérêts,Tous les acheteurs signent une déclaration annuelle. Cross-check avec la base fournisseurs,Conflit d'intérêt acheteur — Avantage indu accordé à un fournisseur lié à l'acheteur,Manual,Year,true,Existing,RH,Vérifier 100% de signatures. Fuzzy match acheteurs vs dirigeants fournisseurs.,"[""F - Finance""]",false
lib_p2p_008,COSO 2013,Procure-to-Pay,P2P-008,Ségrégation des tâches réception et paiement,La personne qui réceptionne ne peut ni créer le fournisseur ni valider le paiement,Réception fictive — Détournement permettant un paiement sans contrepartie,IT-Dependent,Day,true,Existing,IT,Extraire la matrice SoD. Identifier les utilisateurs cumulant des droits incompatibles.,"[""F - Finance""]",false
lib_p2p_009,COSO 2013,Procure-to-Pay,P2P-009,Three-way match obligatoire,Le système bloque si la facture ne correspond pas au PO et au bon de réception,Quantité reçue erronée — Surévaluation des stocks et paiement excédentaire,IT-Dependent,Day,true,Existing,IT,Lister les factures payées sans 3WM. Justifier les overrides.,"[""F - Finance""]",false
lib_p2p_010,COSO 2013,Procure-to-Pay,P2P-010,Contrôle anti-doublon sur numéro de facture,L'ERP bloque toute saisie si numéro de facture déjà enregistré pour le fournisseur sur 24 mois,Facture en doublon — Erreur de saisie ou fraude avec scan multiple,IT-Dependent,Day,true,Existing,Comptabilité Fournisseurs,"Tester la création d'un doublon. Check sur (fournisseur,numéro,montant) sur 24 mois.","[""F - Finance""]",false
lib_p2p_011,COSO 2013,Procure-to-Pay,P2P-011,Procédure d'achat sans PO encadrée,Les factures sans PO (catégories autorisées) doivent être validées par manager + Finance,Facture sans commande — Achat non autorisé régularisé après coup,Manual,Day,false,Existing,Finance,Extraire les factures sans PO. Vérifier la catégorie et la double validation.,"[""F - Finance""]",false
